Time,Strength,Firsts,Lasts,Minimum,Maximum,Interpolated
4/11/2025 0:00,4:49,4:51,4:43,4:03,5:26,0:00
4/11/2025 1:00,4:44,4:38,4:37,4:04,5:09,0:00
4/11/2025 2:00,4:43,4:41,4:38,4:06,5:13,0:00
4/11/2025 3:00,4:56,5:01,4:54,4:27,5:26,0:00
4/11/2025 4:00,4:53,4:58,4:51,4:27,5:17,0:00
4/11/2025 5:00,4:37,4:41,4:35,4:12,5:01,0:00
4/11/2025 6:00,4:06,4:13,4:03,3:42,4:32,0:00
4/11/2025 7:00,4:50,4:54,4:49,4:03,5:34,0:00
4/11/2025 8:00,5:55,5:52,5:55,4:35,6:57,0:00
4/11/2025 9:00,5:50,5:55,5:55,4:42,6:53,0:00
4/11/2025 10:00,5:43,5:50,5:41,4:36,6:44,0:00
4/11/2025 11:00,5:57,6:01,5:58,4:57,7:02,0:00
4/11/2025 12:00,6:11,6:17,6:13,4:55,7:34,0:00
4/11/2025 13:00,5:41,5:49,5:39,4:28,6:55,0:00
4/11/2025 14:00,5:37,5:30,5:33,4:25,6:40,0:00
4/11/2025 15:00,6:46,7:06,6:41,5:32,8:11,0:00
4/11/2025 16:00,6:45,7:12,6:42,5:31,8:31,0:00
4/11/2025 17:00,4:53,5:10,4:46,3:51,5:55,0:00
4/11/2025 18:00,5:13,5:21,5:25,4:03,6:35,0:00
4/11/2025 19:00,5:13,5:24,5:16,4:01,6:46,0:00
4/11/2025 20:00,5:15,5:17,5:15,4:03,6:30,0:00
4/11/2025 21:00,5:09,5:10,5:09,4:09,6:02,0:00
4/11/2025 22:00,4:57,5:00,4:58,4:05,5:46,0:00
4/11/2025 23:00,4:52,4:56,4:54,4:06,5:38,0:00
4/14/2025 0:00,4:41,4:53,4:33,4:10,5:23,0:00
4/14/2025 1:00,5:15,5:27,4:58,4:20,6:01,0:00
4/14/2025 2:00,5:10,5:21,5:01,4:16,5:57,0:00
4/14/2025 3:00,4:33,4:32,4:27,3:50,5:15,0:00
4/14/2025 4:00,4:15,4:15,4:08,3:40,4:41,0:00
4/14/2025 5:00,4:06,4:04,4:04,3:34,4:29,0:00
4/14/2025 6:00,4:15,4:16,4:13,3:41,4:39,0:00
4/14/2025 7:00,5:06,5:04,5:03,3:58,6:00,0:00
4/14/2025 8:00,6:48,6:52,6:46,4:47,8:24,0:00
4/14/2025 9:00,6:47,6:50,6:42,4:57,8:28,0:00
4/14/2025 10:00,6:44,6:44,6:45,5:09,8:23,0:00
4/14/2025 11:00,6:45,6:48,6:51,5:14,8:23,0:00
4/14/2025 12:00,5:23,5:25,5:22,4:20,6:17,0:00
4/14/2025 13:00,5:04,5:03,5:00,4:06,5:56,0:00
4/14/2025 14:00,5:03,5:13,4:51,3:59,6:03,0:00
4/14/2025 15:00,5:06,5:15,4:57,4:06,6:00,0:00
4/14/2025 16:00,5:19,5:23,5:13,4:26,6:09,0:00
4/14/2025 17:00,4:59,5:01,4:54,4:19,5:49,0:00
4/14/2025 18:00,4:47,4:49,4:44,4:12,5:16,0:00
4/14/2025 19:00,4:38,4:44,4:34,3:53,5:21,0:00
4/14/2025 20:00,4:36,4:41,4:30,3:57,5:20,0:00
4/14/2025 21:00,4:45,4:43,4:39,4:03,5:36,0:00
4/14/2025 22:00,4:33,4:30,4:28,4:01,5:05,0:00
4/14/2025 23:00,4:24,4:25,4:22,3:50,4:51,0:00
4/15/2025 0:00,4:18,4:18,4:17,3:41,4:46,0:00
4/15/2025 1:00,4:18,4:17,4:16,3:45,4:48,0:00
4/15/2025 2:00,4:20,4:23,4:22,3:45,4:54,0:00
4/15/2025 3:00,4:21,4:24,4:22,3:42,4:53,0:00
4/15/2025 4:00,4:20,4:21,4:15,3:43,4:47,0:00
4/15/2025 5:00,4:09,4:11,4:07,3:37,4:32,0:00
4/15/2025 6:00,4:13,4:21,4:11,3:50,4:34,0:00
4/15/2025 7:00,4:44,4:48,4:44,4:03,5:29,0:00
4/15/2025 8:00,5:30,5:36,5:22,4:15,6:46,0:00
4/15/2025 9:00,6:07,6:19,5:57,4:33,7:43,0:00
4/15/2025 10:00,5:38,5:45,5:32,4:28,6:42,0:00
4/15/2025 11:00,4:55,5:00,4:50,4:00,5:49,0:00
4/15/2025 12:00,5:12,5:20,5:06,4:13,6:18,0:00
4/15/2025 13:00,4:51,4:59,4:49,4:02,5:46,0:00
4/15/2025 14:00,5:05,5:09,5:07,4:12,6:05,0:00
4/15/2025 15:00,5:07,5:14,5:03,4:16,6:05,0:00
4/15/2025 16:00,4:49,4:46,4:48,4:00,5:41,0:00
4/15/2025 17:00,4:46,4:44,4:43,3:59,5:40,0:00
