"Time","Strength","Firsts","Lasts","Minimum","Maximum","Interpolated"
"00:00 2025/04/11","4:29 ","4:29 ","4:36 ","3:56 ","5:12 ","0:00 "
"01:00 2025/04/11","4:31 ","4:30 ","4:39 ","4:03 ","5:11 ","0:00 "
"02:00 2025/04/11","4:48 ","4:36 ","4:45 ","4:09 ","5:19 ","0:00 "
"03:00 2025/04/11","4:44 ","4:31 ","4:38 ","4:09 ","5:10 ","0:00 "
"04:00 2025/04/11","4:41 ","4:25 ","4:34 ","4:06 ","5:04 ","0:00 "
"05:00 2025/04/11","4:38 ","4:23 ","4:35 ","4:02 ","5:07 ","0:00 "
"06:00 2025/04/11","4:19 ","4:09 ","4:19 ","3:49 ","4:48 ","0:00 "
"07:00 2025/04/11","4:20 ","4:16 ","4:20 ","3:50 ","4:54 ","0:00 "
"08:00 2025/04/11","5:24 ","5:19 ","5:23 ","4:15 ","6:33 ","0:00 "
"09:00 2025/04/11","5:55 ","5:59 ","5:51 ","4:40 ","7:02 ","0:00 "
"10:00 2025/04/11","5:56 ","5:54 ","5:57 ","4:53 ","6:59 ","0:00 "
"11:00 2025/04/11","6:01 ","5:59 ","6:02 ","4:40 ","7:06 ","0:00 "
"12:00 2025/04/11","6:13 ","6:13 ","6:02 ","4:57 ","7:09 ","0:00 "
"13:00 2025/04/11","6:13 ","6:12 ","6:09 ","5:01 ","7:17 ","0:00 "
"14:00 2025/04/11","6:32 ","6:29 ","6:30 ","5:13 ","7:48 ","0:00 "
"15:00 2025/04/11","6:51 ","6:45 ","6:53 ","5:28 ","8:12 ","0:00 "
"16:00 2025/04/11","7:27 ","7:19 ","7:27 ","5:45 ","9:03 ","0:00 "
"17:00 2025/04/11","5:16 ","5:11 ","5:21 ","4:13 ","6:24 ","0:00 "
"18:00 2025/04/11","4:41 ","4:22 ","4:41 ","3:42 ","5:30 ","0:00 "
"19:00 2025/04/11","4:33 ","4:17 ","4:37 ","3:37 ","5:09 ","0:00 "
"20:00 2025/04/11","4:34 ","4:22 ","4:41 ","3:43 ","5:15 ","0:00 "
"21:00 2025/04/11","4:29 ","4:17 ","4:40 ","3:42 ","5:06 ","0:00 "
"22:00 2025/04/11","4:20 ","4:07 ","4:30 ","3:36 ","4:50 ","0:00 "
"23:00 2025/04/11","4:16 ","4:01 ","4:27 ","3:33 ","4:43 ","0:00 "
"00:00 2025/04/14","4:29 ","4:30 ","4:34 ","3:53 ","5:00 ","0:00 "
"01:00 2025/04/14","4:22 ","4:20 ","4:23 ","3:43 ","4:53 ","0:00 "
"02:00 2025/04/14","4:09 ","4:09 ","4:08 ","3:27 ","4:37 ","0:00 "
"03:00 2025/04/14","4:05 ","4:05 ","4:06 ","3:23 ","4:31 ","0:00 "
"04:00 2025/04/14","4:02 ","4:03 ","4:04 ","3:24 ","4:33 ","0:00 "
"05:00 2025/04/14","4:06 ","4:07 ","4:13 ","3:34 ","4:45 ","0:00 "
"06:00 2025/04/14","4:13 ","4:11 ","4:22 ","3:47 ","4:48 ","0:00 "
"07:00 2025/04/14","4:22 ","4:22 ","4:27 ","3:57 ","4:58 ","0:00 "
"08:00 2025/04/14","5:32 ","5:30 ","5:38 ","4:37 ","6:31 ","0:00 "
"09:00 2025/04/14","5:41 ","5:48 ","5:40 ","4:37 ","6:54 ","0:00 "
"10:00 2025/04/14","5:40 ","5:50 ","5:41 ","4:43 ","6:49 ","0:00 "
"11:00 2025/04/14","5:42 ","5:43 ","5:48 ","4:42 ","6:46 ","0:00 "
"12:00 2025/04/14","5:14 ","5:10 ","5:20 ","4:17 ","6:17 ","0:00 "
"13:00 2025/04/14","5:07 ","5:10 ","5:11 ","4:16 ","6:23 ","0:00 "
"14:00 2025/04/14","5:02 ","5:14 ","4:55 ","4:06 ","6:00 ","0:00 "
"15:00 2025/04/14","5:25 ","5:26 ","5:25 ","4:21 ","6:23 ","0:00 "
"16:00 2025/04/14","5:02 ","5:00 ","5:01 ","4:12 ","5:42 ","0:00 "
"17:00 2025/04/14","4:48 ","4:48 ","4:50 ","4:05 ","5:32 ","0:00 "
"18:00 2025/04/14","4:51 ","4:57 ","4:57 ","4:04 ","5:52 ","0:00 "
"19:00 2025/04/14","4:47 ","4:52 ","4:50 ","4:05 ","6:00 ","0:00 "
"20:00 2025/04/14","4:42 ","4:40 ","4:42 ","3:59 ","5:20 ","0:00 "
"21:00 2025/04/14","4:33 ","4:31 ","4:32 ","3:53 ","5:10 ","0:00 "
"22:00 2025/04/14","4:11 ","4:09 ","4:14 ","3:41 ","4:44 ","0:00 "
"23:00 2025/04/14","4:02 ","4:01 ","4:05 ","3:40 ","4:30 ","0:00 "
"00:00 2025/04/15","3:59 ","3:58 ","4:02 ","3:35 ","4:22 ","0:00 "
"01:00 2025/04/15","3:58 ","3:57 ","4:01 ","3:35 ","4:19 ","0:00 "
