Time,Strength,Firsts,Lasts,Minimum,Maximum,Interpolated
5/9/2025 0:00,4:01,4:01,3:57,3:25,4:22,0:00
5/9/2025 1:00,3:57,3:53,3:52,3:21,4:19,0:00
5/9/2025 2:00,3:56,3:48,3:51,3:21,4:15,0:00
5/9/2025 3:00,3:57,3:48,3:51,3:22,4:14,0:00
5/9/2025 4:00,3:53,3:44,3:49,3:21,4:13,0:00
5/9/2025 5:00,3:56,3:46,3:55,3:23,4:13,0:00
5/9/2025 6:00,4:04,3:57,4:02,3:30,4:16,0:00
5/9/2025 7:00,4:09,4:09,4:08,3:39,4:36,0:00
5/9/2025 8:00,4:48,4:47,4:48,4:03,5:27,0:00
5/9/2025 9:00,5:12,5:16,5:15,4:19,6:11,0:00
5/9/2025 10:00,5:04,5:02,5:05,4:03,6:02,0:00
5/9/2025 11:00,4:58,5:05,4:49,4:04,5:43,0:00
5/9/2025 12:00,4:38,4:45,4:37,3:55,5:27,0:00
5/9/2025 13:00,4:33,4:34,4:29,3:54,5:11,0:00
5/9/2025 14:00,5:05,5:06,5:03,4:06,6:05,0:00
5/9/2025 15:00,4:42,4:46,4:37,3:55,5:30,0:00
5/9/2025 16:00,5:03,5:03,5:02,4:09,5:45,0:00
5/9/2025 17:00,4:48,4:50,4:47,3:58,5:30,0:00
5/9/2025 18:00,4:40,4:42,4:35,3:54,5:18,0:00
5/9/2025 19:00,4:43,4:46,4:42,3:55,5:31,0:00
5/9/2025 20:00,4:50,4:53,4:47,3:58,5:37,0:00
5/9/2025 21:00,4:25,4:24,4:23,3:49,4:55,0:00
5/9/2025 22:00,4:16,4:15,4:18,3:44,4:41,0:00
5/9/2025 23:00,4:16,4:18,4:21,3:48,4:42,0:00
5/12/2025 0:00,4:02,4:05,4:01,3:32,4:16,0:00
5/12/2025 1:00,4:02,4:05,4:03,3:38,4:17,0:00
5/12/2025 2:00,4:03,4:06,4:06,3:43,4:19,0:00
5/12/2025 3:00,4:06,4:09,4:09,3:46,4:24,0:00
5/12/2025 4:00,4:08,4:10,4:10,3:47,4:25,0:00
5/12/2025 5:00,4:09,4:07,4:09,3:41,4:21,0:00
5/12/2025 6:00,4:14,4:11,4:13,3:43,4:29,0:00
5/12/2025 7:00,4:08,4:08,4:09,3:41,4:30,0:00
5/12/2025 8:00,4:31,4:32,4:27,3:55,5:10,0:00
5/12/2025 9:00,4:28,4:23,4:28,3:52,4:59,0:00
5/12/2025 10:00,4:53,4:45,4:52,4:09,5:32,0:00
5/12/2025 11:00,4:33,4:32,4:32,3:47,5:17,0:00
5/12/2025 12:00,4:34,4:31,4:32,3:51,5:10,0:00
5/12/2025 13:00,4:34,4:28,4:31,3:45,5:12,0:00
5/12/2025 14:00,4:44,4:45,4:42,3:55,5:32,0:00
5/12/2025 15:00,4:55,5:02,4:52,4:17,5:49,0:00
5/12/2025 16:00,4:44,4:48,4:41,4:02,5:18,0:00
5/12/2025 17:00,4:22,4:26,4:21,3:51,4:54,0:00
5/12/2025 18:00,4:32,4:33,4:29,3:54,5:09,0:00
5/12/2025 19:00,4:19,4:21,4:17,3:40,4:51,0:00
5/12/2025 20:00,4:07,4:12,4:02,3:30,4:39,0:00
5/12/2025 21:00,4:03,4:06,4:01,3:33,4:34,0:00
5/12/2025 22:00,4:03,4:03,4:04,3:35,4:32,0:00
5/12/2025 23:00,3:58,3:54,3:58,3:22,4:21,0:00
5/13/2025 0:00,3:56,3:51,3:54,3:17,4:18,0:00
5/13/2025 1:00,3:54,3:47,3:52,3:18,4:14,0:00
5/13/2025 2:00,3:53,3:48,3:50,3:18,4:18,0:00
5/13/2025 3:00,3:48,3:47,3:46,3:17,4:13,0:00
5/13/2025 4:00,3:48,3:48,3:44,3:17,4:14,0:00
5/13/2025 5:00,3:39,3:39,3:34,3:11,4:09,0:00
5/13/2025 6:00,3:29,3:36,3:27,3:08,4:00,0:00
5/13/2025 7:00,3:38,3:43,3:38,3:15,4:01,0:00
5/13/2025 8:00,3:48,3:47,3:49,3:22,4:16,0:00
5/13/2025 9:00,4:01,3:59,4:03,3:27,4:57,0:00
5/13/2025 10:00,4:17,4:17,4:18,3:29,5:02,0:00
5/13/2025 11:00,2:51,2:46,2:47,2:10,3:25,0:00
5/13/2025 12:00,0:00,0:00,0:00,0:00,0:00,0:00
5/13/2025 13:00,1:33,1:33,1:31,1:17,1:42,0:00
5/13/2025 14:00,4:37,4:33,4:30,3:43,5:08,0:00
5/13/2025 15:00,4:39,4:43,4:38,3:57,5:28,0:00
5/13/2025 16:00,4:25,4:24,4:26,3:48,5:02,0:00
5/13/2025 17:00,4:39,4:32,4:35,3:54,5:14,0:00
5/13/2025 18:00,4:42,4:46,4:35,3:55,5:26,0:00
5/13/2025 19:00,4:43,4:41,4:44,3:57,5:22,0:00
5/13/2025 20:00,4:21,4:13,4:25,3:48,4:58,0:00
5/13/2025 21:00,4:17,4:09,4:18,3:39,4:51,0:00
5/13/2025 22:00,4:09,4:02,4:07,3:34,4:34,0:00
5/13/2025 23:00,4:01,3:58,4:01,3:35,4:16,0:00
5/14/2025 0:00,3:57,3:51,3:58,3:31,4:10,0:00
5/14/2025 1:00,3:57,3:51,3:57,3:31,4:12,0:00
5/14/2025 2:00,3:59,3:52,3:59,3:33,4:14,0:00
5/14/2025 3:00,3:58,3:50,3:59,3:32,4:16,0:00
5/14/2025 4:00,3:59,3:49,3:59,3:33,4:17,0:00
5/14/2025 5:00,4:02,3:53,4:03,3:33,4:20,0:00
5/14/2025 6:00,4:11,4:09,4:13,3:40,4:33,0:00
5/14/2025 7:00,4:31,4:28,4:35,3:56,5:12,0:00
5/14/2025 8:00,4:34,4:37,4:34,3:54,5:24,0:00
5/14/2025 9:00,4:49,4:51,4:48,4:08,5:37,0:00
5/14/2025 10:00,4:32,4:34,4:30,3:56,5:13,0:00
5/14/2025 11:00,4:40,4:42,4:40,4:04,5:27,0:00
5/14/2025 12:00,4:40,4:43,4:42,4:00,5:30,0:00
5/14/2025 13:00,4:51,4:55,4:43,4:04,5:30,0:00
5/14/2025 14:00,4:55,5:00,4:49,4:00,5:39,0:00
5/14/2025 15:00,4:40,4:35,4:37,4:00,5:16,0:00
5/14/2025 16:00,4:39,4:37,4:37,3:56,5:18,0:00
5/14/2025 17:00,4:35,4:31,4:30,3:50,5:21,0:00
5/14/2025 18:00,4:22,4:20,4:19,3:48,4:54,0:00
5/14/2025 19:00,4:30,4:29,4:29,3:48,5:03,0:00
